,step,scenario,algorithm,length,qname_count,qname
0,initial-,SOA with RRSIG,rsasha1,444,"[2, 2]",initial-rsasha1.example.
1,new_rrsig-,SOA with RRSIG,rsasha1,1160,"[3, 3]",new_rrsig-rsasha1.example.
2,new_dnskey-,SOA with RRSIG,rsasha1,1166,"[3, 3]",new_dnskey-rsasha1.example.
3,dnskey_removal-,SOA with RRSIG,rsasha1,1179,"[3, 3]",dnskey_removal-rsasha1.example.
4,rrsig_removal-,SOA with RRSIG,rsasha1,858,"[2, 2]",rrsig_removal-rsasha1.example.
5,initial-,SOA with RRSIG,rsasha256,448,"[2, 2]",initial-rsasha256.example.
6,new_rrsig-,SOA with RRSIG,rsasha256,1167,"[3, 3]",new_rrsig-rsasha256.example.
7,new_dnskey-,SOA with RRSIG,rsasha256,1172,"[3, 3]",new_dnskey-rsasha256.example.
8,dnskey_removal-,SOA with RRSIG,rsasha256,1185,"[3, 3]",dnskey_removal-rsasha256.example.
9,rrsig_removal-,SOA with RRSIG,rsasha256,861,"[2, 2]",rrsig_removal-rsasha256.example.
10,initial-,SOA with RRSIG,rsasha512,448,"[2, 2]",initial-rsasha512.example.
11,new_rrsig-,SOA with RRSIG,rsasha512,1168,"[3, 3]",new_rrsig-rsasha512.example.
12,new_dnskey-,SOA with RRSIG,rsasha512,1173,"[3, 3]",new_dnskey-rsasha512.example.
13,dnskey_removal-,SOA with RRSIG,rsasha512,1186,"[3, 3]",dnskey_removal-rsasha512.example.
14,rrsig_removal-,SOA with RRSIG,rsasha512,864,"[2, 2]",rrsig_removal-rsasha512.example.
15,initial-,SOA with RRSIG,ecdsa256,254,"[2, 2]",initial-ecdsa256.example.
16,new_rrsig-,SOA with RRSIG,ecdsa256,975,"[3, 3]",new_rrsig-ecdsa256.example.
17,new_dnskey-,SOA with RRSIG,ecdsa256,976,"[3, 3]",new_dnskey-ecdsa256.example.
18,dnskey_removal-,SOA with RRSIG,ecdsa256,988,"[3, 3]",dnskey_removal-ecdsa256.example.
19,rrsig_removal-,SOA with RRSIG,ecdsa256,859,"[2, 2]",rrsig_removal-ecdsa256.example.
20,initial-,SOA with RRSIG,ecdsa384,286,"[2, 2]",initial-ecdsa384.example.
21,new_rrsig-,SOA with RRSIG,ecdsa384,1004,"[3, 3]",new_rrsig-ecdsa384.example.
22,new_dnskey-,SOA with RRSIG,ecdsa384,1008,"[3, 3]",new_dnskey-ecdsa384.example.
23,dnskey_removal-,SOA with RRSIG,ecdsa384,1017,"[3, 3]",dnskey_removal-ecdsa384.example.
24,rrsig_removal-,SOA with RRSIG,ecdsa384,860,"[2, 2]",rrsig_removal-ecdsa384.example.
25,initial-,SOA with RRSIG,ed25519,252,"[2, 2]",initial-ed25519.example.
26,new_rrsig-,SOA with RRSIG,ed25519,971,"[3, 3]",new_rrsig-ed25519.example.
27,new_dnskey-,SOA with RRSIG,ed25519,975,"[3, 3]",new_dnskey-ed25519.example.
28,dnskey_removal-,SOA with RRSIG,ed25519,983,"[3, 3]",dnskey_removal-ed25519.example.
29,rrsig_removal-,SOA with RRSIG,ed25519,858,"[2, 2]",rrsig_removal-ed25519.example.
30,initial-,SOA with RRSIG,ed448,298,"[2, 2]",initial-ed448.example.
31,new_rrsig-,SOA with RRSIG,ed448,1019,"[3, 3]",new_rrsig-ed448.example.
32,new_dnskey-,SOA with RRSIG,ed448,1019,"[3, 3]",new_dnskey-ed448.example.
33,dnskey_removal-,SOA with RRSIG,ed448,1028,"[3, 3]",dnskey_removal-ed448.example.
34,rrsig_removal-,SOA with RRSIG,ed448,852,"[2, 2]",rrsig_removal-ed448.example.
35,initial-,SOA with RRSIG,falcon,844,"[2, 2]",initial-falcon.example.
36,new_rrsig-,SOA with RRSIG,falcon,1568,"[3, 3]",new_rrsig-falcon.example.
37,new_dnskey-,SOA with RRSIG,falcon,1563,"[3, 3]",new_dnskey-falcon.example.
38,dnskey_removal-,SOA with RRSIG,falcon,1579,"[3, 3]",dnskey_removal-falcon.example.
39,rrsig_removal-,SOA with RRSIG,falcon,857,"[2, 2]",rrsig_removal-falcon.example.
40,initial-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha1,759,"[1, 4, 4]",wildcard.initial-rsasha1.example.
41,new_rrsig-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha1,2196,"[1, 6, 6]",wildcard.new_rrsig-rsasha1.example.
42,new_dnskey-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha1,2202,"[1, 6, 6]",wildcard.new_dnskey-rsasha1.example.
43,dnskey_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha1,2224,"[1, 6, 6]",wildcard.dnskey_removal-rsasha1.example.
44,rrsig_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha1,1584,"[1, 4, 4]",wildcard.rrsig_removal-rsasha1.example.
45,initial-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha256,767,"[1, 4, 4]",wildcard.initial-rsasha256.example.
46,new_rrsig-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha256,2206,"[1, 6, 6]",wildcard.new_rrsig-rsasha256.example.
47,new_dnskey-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha256,2213,"[1, 6, 6]",wildcard.new_dnskey-rsasha256.example.
48,dnskey_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha256,2236,"[1, 6, 6]",wildcard.dnskey_removal-rsasha256.example.
49,rrsig_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha256,1596,"[1, 4, 4]",wildcard.rrsig_removal-rsasha256.example.
50,initial-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha512,767,"[1, 4, 4]",wildcard.initial-rsasha512.example.
51,new_rrsig-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha512,2204,"[1, 6, 6]",wildcard.new_rrsig-rsasha512.example.
52,new_dnskey-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha512,2214,"[1, 6, 6]",wildcard.new_dnskey-rsasha512.example.
53,dnskey_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha512,2233,"[1, 6, 6]",wildcard.dnskey_removal-rsasha512.example.
54,rrsig_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha512,1597,"[1, 4, 4]",wildcard.rrsig_removal-rsasha512.example.
55,initial-,1 AAAA RR with RRSIG for Wildcard (NSEC),ecdsa256,379,"[1, 4, 4]",wildcard.initial-ecdsa256.example.
